location1,location2,traveltime
Lienz Defense Works,Eisriesenwelt Ice Cave,60
Lienz Defense Works,Salzburg Cathedral,67
Lienz Defense Works,Hallein Salt Mine,61
Lienz Defense Works,Alpbach Village Towers,66
Lienz Defense Works,Werfen Ice Caves,51
Lienz Defense Works,Kitzbuhel Town,48
Lienz Defense Works,Hinterglemm Village,39
Lienz Defense Works,Fuschl am See,75
Lienz Defense Works,Ellmau Village Quarantaine Area,55
Lienz Defense Works,Hohenwerfen Castle,52
Lienz Defense Works,Saalbach Hinterglemm Isolation Zone,38
Lienz Defense Works,Villach Botanical Garden,75
Lienz Defense Works,Rattenberg Glass Fortress,73
Lienz Defense Works,Hochburg Ach Castle,86
Lienz Defense Works,Heiligenblut Safe Zone,17
Lienz Defense Works,Grossglockner Mountain Community,17
Lienz Defense Works,Mallnitz Welcomes all,31
Lienz Defense Works,Nockberge Biosphere Reserve,70
Ankogel Isolation Zone,Hallstatt Village Perimeter,48
Ankogel Isolation Zone,Salzkammergut Lake District,56
Ankogel Isolation Zone,Zell am See Valley of Serenity,35
Ankogel Isolation Zone,Klagenfurt Cathedral Zone,77
Ankogel Isolation Zone,Hohensalzburg Castle,54
Ankogel Isolation Zone,Kufstein Fortress,79
Ankogel Isolation Zone,Mondsee Waterfront Perimeter,58
Ankogel Isolation Zone,Eisriesenwelt Ice Cave,38
Ankogel Isolation Zone,Stiftsbibliothek Admont Preservation,89
Ankogel Isolation Zone,Salzburg Cathedral,54
Ankogel Isolation Zone,Hallein Salt Mine,46
Ankogel Isolation Zone,Alpbach Village Towers,88
Ankogel Isolation Zone,Werfen Ice Caves,32
Ankogel Isolation Zone,Kitzbuhel Town,62
Ankogel Isolation Zone,Hinterglemm Village,50
Ankogel Isolation Zone,Fuschl am See,55
Ankogel Isolation Zone,Ellmau Village Quarantaine Area,69
Ankogel Isolation Zone,Hohenwerfen Castle,33
Ankogel Isolation Zone,Saalbach Hinterglemm Isolation Zone,46
Ankogel Isolation Zone,Traunsee Island community,72
Ankogel Isolation Zone,Friesach Castle,80
Ankogel Isolation Zone,Villach Botanical Garden,51
Ankogel Isolation Zone,Worthersee,70
Ankogel Isolation Zone,Hochburg Ach Castle,72
Ankogel Isolation Zone,Heiligenblut Safe Zone,27
Ankogel Isolation Zone,Grossglockner Mountain Community,35
Ankogel Isolation Zone,Mallnitz Welcomes all,5
Ankogel Isolation Zone,Nockberge Biosphere Reserve,40
Ankogel Isolation Zone,Lienz Defense Works,32
Goldeck Mountain,Hallstatt Village Perimeter,52
Goldeck Mountain,Salzkammergut Lake District,64
Goldeck Mountain,Zell am See Valley of Serenity,58
Goldeck Mountain,Klagenfurt Cathedral Zone,56
Goldeck Mountain,Hohensalzburg Castle,72
Goldeck Mountain,Mondsee Waterfront Perimeter,71
Goldeck Mountain,Eisriesenwelt Ice Cave,53
Goldeck Mountain,Stiftsbibliothek Admont Preservation,80
Goldeck Mountain,Salzburg Cathedral,73
Goldeck Mountain,Hallein Salt Mine,64
Goldeck Mountain,Werfen Ice Caves,49
Goldeck Mountain,Kitzbuhel Town,85
Goldeck Mountain,Hochosterwitz Castle,73
Goldeck Mountain,Hinterglemm Village,72
Goldeck Mountain,Fuschl am See,68
Goldeck Mountain,Hohenwerfen Castle,50
Goldeck Mountain,Saalbach Hinterglemm Isolation Zone,69
Goldeck Mountain,Traunsee Island community,76
Goldeck Mountain,Friesach Castle,62
Goldeck Mountain,Villach Botanical Garden,28
Goldeck Mountain,Worthersee,49
Goldeck Mountain,Hochburg Ach Castle,88
Goldeck Mountain,Fohnsdorf Reinstated Ruin and Coalmine Zone,83
Goldeck Mountain,Heiligenblut Safe Zone,48
Goldeck Mountain,Grossglockner Mountain Community,56
Goldeck Mountain,Mallnitz Welcomes all,26
Goldeck Mountain,Nockberge Biosphere Reserve,23
Goldeck Mountain,Lienz Defense Works,49
Goldeck Mountain,Ankogel Isolation Zone,23
Weissensee Boating community,Hallstatt Village Perimeter,64
Weissensee Boating community,Salzkammergut Lake District,74
Weissensee Boating community,Zell am See Valley of Serenity,51
Weissensee Boating community,Klagenfurt Cathedral Zone,72
Weissensee Boating community,Hohensalzburg Castle,74
Weissensee Boating community,Mondsee Waterfront Perimeter,77
Weissensee Boating community,Eisriesenwelt Ice Cave,58
Weissensee Boating community,Salzburg Cathedral,74
Weissensee Boating community,Hallein Salt Mine,66
Weissensee Boating community,Werfen Ice Caves,52
Weissensee Boating community,Kitzbuhel Town,75
Weissensee Boating community,Hochosterwitz Castle,90
Weissensee Boating community,Hinterglemm Village,63
Weissensee Boating community,Fuschl am See,74
Weissensee Boating community,Ellmau Village Quarantaine Area,82
Weissensee Boating community,Hohenwerfen Castle,53
Weissensee Boating community,Saalbach Hinterglemm Isolation Zone,61
Weissensee Boating community,Traunsee Island community,89
Weissensee Boating community,Friesach Castle,80
Weissensee Boating community,Villach Botanical Garden,43
Weissensee Boating community,Worthersee,64
Weissensee Boating community,Heiligenblut Safe Zone,37
Weissensee Boating community,Grossglockner Mountain Community,44
Weissensee Boating community,Mallnitz Welcomes all,23
Weissensee Boating community,Nockberge Biosphere Reserve,42
Weissensee Boating community,Lienz Defense Works,33
Weissensee Boating community,Ankogel Isolation Zone,20
Weissensee Boating community,Goldeck Mountain,19
Hochalmspitze Zone of Tranquility,Hallstatt Village Perimeter,44
Hochalmspitze Zone of Tranquility,Salzkammergut Lake District,54
Hochalmspitze Zone of Tranquility,Zell am See Valley of Serenity,42
Hochalmspitze Zone of Tranquility,Klagenfurt Cathedral Zone,70
Hochalmspitze Zone of Tranquility,Hohensalzburg Castle,57
Hochalmspitze Zone of Tranquility,Kufstein Fortress,87
Hochalmspitze Zone of Tranquility,Mondsee Waterfront Perimeter,58
Hochalmspitze Zone of Tranquility,Eisriesenwelt Ice Cave,39
Hochalmspitze Zone of Tranquility,Stiftsbibliothek Admont Preservation,83
Hochalmspitze Zone of Tranquility,Salzburg Cathedral,57
Hochalmspitze Zone of Tranquility,Hallein Salt Mine,49
Hochalmspitze Zone of Tranquility,Werfen Ice Caves,34
Hochalmspitze Zone of Tranquility,Kitzbuhel Town,69
Hochalmspitze Zone of Tranquility,Hochosterwitz Castle,85
Hochalmspitze Zone of Tranquility,Hinterglemm Village,57
Hochalmspitze Zone of Tranquility,Fuschl am See,55
Hochalmspitze Zone of Tranquility,Ellmau Village Quarantaine Area,76
Hochalmspitze Zone of Tranquility,Hohenwerfen Castle,35
Hochalmspitze Zone of Tranquility,Saalbach Hinterglemm Isolation Zone,53
Hochalmspitze Zone of Tranquility,Traunsee Island community,69
Hochalmspitze Zone of Tranquility,Friesach Castle,73
Hochalmspitze Zone of Tranquility,Villach Botanical Garden,44
Hochalmspitze Zone of Tranquility,Worthersee,63
Hochalmspitze Zone of Tranquility,Hochburg Ach Castle,74
Hochalmspitze Zone of Tranquility,Heiligenblut Safe Zone,34
Hochalmspitze Zone of Tranquility,Grossglockner Mountain Community,42
Hochalmspitze Zone of Tranquility,Mallnitz Welcomes all,11
Hochalmspitze Zone of Tranquility,Nockberge Biosphere Reserve,32
Hochalmspitze Zone of Tranquility,Lienz Defense Works,39
Hochalmspitze Zone of Tranquility,Ankogel Isolation Zone,8
Hochalmspitze Zone of Tranquility,Goldeck Mountain,17
Hochalmspitze Zone of Tranquility,Weissensee Boating community,20
Falkenstein Castle,Melk Abbey Sanctuary Zone,85
Falkenstein Castle,Wachau Valley Green Zone,75
Falkenstein Castle,FH St Poelten Campus Data Zone,68
Falkenstein Castle,Durnstein Village Survivers Area,70
Falkenstein Castle,Esterhazy Palace,54
Wilfersdorf Castle,Melk Abbey Sanctuary Zone,83
Wilfersdorf Castle,Wachau Valley Green Zone,73
Wilfersdorf Castle,FH St Poelten Campus Data Zone,66
Wilfersdorf Castle,Durnstein Village Survivers Area,68
Wilfersdorf Castle,Esterhazy Palace,52
Wilfersdorf Castle,Falkenstein Castle,5
Laa an der Thaya Therme,Melk Abbey Sanctuary Zone,77
Laa an der Thaya Therme,Wachau Valley Green Zone,66
Laa an der Thaya Therme,FH St Poelten Campus Data Zone,61
Laa an der Thaya Therme,Durnstein Village Survivers Area,61
Laa an der Thaya Therme,Esterhazy Palace,59
Laa an der Thaya Therme,Falkenstein Castle,12
Laa an der Thaya Therme,Wilfersdorf Castle,11
Mariazell Basilica,Melk Abbey Sanctuary Zone,31
Mariazell Basilica,Linz Castle,77
Mariazell Basilica,Wachau Valley Green Zone,40
Mariazell Basilica,FH St Poelten Campus Data Zone,35
Mariazell Basilica,Durnstein Village Survivers Area,45
Mariazell Basilica,Styrian Armoury,47
Mariazell Basilica,Stiftsbibliothek Admont Preservation,60
Mariazell Basilica,Esterhazy Palace,81
Mariazell Basilica,Piber Stud Farm Zone,52
Mariazell Basilica,Hochosterwitz Castle,82
Mariazell Basilica,Waidhofen an der Ybbs,39
Mariazell Basilica,Eggenberg Palace Graz,48
Mariazell Basilica,Steyr Fortified Old Town,62
Mariazell Basilica,Friesach Castle,82
Mariazell Basilica,Gussing Castle,83
Mariazell Basilica,Fohnsdorf Reinstated Ruin and Coalmine Zone,57
Mariazell Basilica,Ehrenhausen Castle,71
Mariazell Basilica,Riegersburg Castle,63
Mariazell Basilica,Kornberg Castle,74
Oetscher Cave Network,Melk Abbey Sanctuary Zone,26
Oetscher Cave Network,Linz Castle,68
Oetscher Cave Network,Wachau Valley Green Zone,37
Oetscher Cave Network,FH St Poelten Campus Data Zone,36
Oetscher Cave Network,Durnstein Village Survivers Area,42
Oetscher Cave Network,Styrian Armoury,55
Oetscher Cave Network,Stiftsbibliothek Admont Preservation,55
Oetscher Cave Network,Esterhazy Palace,88
Oetscher Cave Network,Piber Stud Farm Zone,57
Oetscher Cave Network,Hochosterwitz Castle,84
Oetscher Cave Network,Waidhofen an der Ybbs,30
Oetscher Cave Network,Eggenberg Palace Graz,55
Oetscher Cave Network,Steyr Fortified Old Town,54
Oetscher Cave Network,Friesach Castle,81
Oetscher Cave Network,Fohnsdorf Reinstated Ruin and Coalmine Zone,57
Oetscher Cave Network,Ehrenhausen Castle,79
Oetscher Cave Network,Riegersburg Castle,72
Oetscher Cave Network,Kornberg Castle,83
Oetscher Cave Network,Mariazell Basilica,10
